Ses01M_impro04_F000 :Neutral state; :Overlap; :Happiness; ()
Ses01M_impro04_F001 :Neutral state; :Overlap; ()
Ses01M_impro04_F002 :Neutral state; :Overlap; ()
Ses01M_impro04_F003 :Neutral state; :Overlap; ()
Ses01M_impro04_F004 :Neutral state; :Overlap; ()
Ses01M_impro04_F005 :Neutral state; :Overlap; (careful)
Ses01M_impro04_F006 :Neutral state; :Overlap; ()
Ses01M_impro04_F007 :Neutral state; :Overlap; (worried?)
Ses01M_impro04_F008 :Neutral state; :Overlap; (encouraging)
Ses01M_impro04_F009 :Neutral state; :Overlap; ()
Ses01M_impro04_F010 :Neutral state; :Overlap; ()
Ses01M_impro04_F011 :Neutral state; :Overlap; (careful)
Ses01M_impro04_F012 :Neutral state; :Overlap; (lying)
Ses01M_impro04_F013 :Neutral state; :Overlap; ()
Ses01M_impro04_F014 :Neutral state; :Overlap; ()
Ses01M_impro04_F015 :Neutral state; :Overlap; ()
Ses01M_impro04_F016 :Neutral state; :Overlap; ()
Ses01M_impro04_F017 :Neutral state; :Overlap; ()
Ses01M_impro04_F018 :Neutral state; :Overlap; ()
Ses01M_impro04_F019 :Neutral state; :Overlap; ()
Ses01M_impro04_F020 :Neutral state; :Overlap; ()
Ses01M_impro04_F021 :Neutral state; :Overlap; ()
Ses01M_impro04_F022 :Neutral state; :Overlap; ()
Ses01M_impro04_F023 :Overlap; :Surprise; :Happiness; ()
Ses01M_impro04_F024 :Neutral state; :Overlap; ()
Ses01M_impro04_F025 :Neutral state; :Overlap; ()
