Ses05M_script01_1b_F000 :Sadness; ()
Ses05M_script01_1b_F001 :Frustration; ()
Ses05M_script01_1b_F002 :Frustration; ()
Ses05M_script01_1b_F003 :Frustration; ()
Ses05M_script01_1b_F004 :Frustration; ()
Ses05M_script01_1b_F005 :Frustration; ()
Ses05M_script01_1b_F006 :Frustration; ()
Ses05M_script01_1b_F007 :Frustration; ()
Ses05M_script01_1b_F008 :Frustration; ()
Ses05M_script01_1b_F009 :Frustration; ()
Ses05M_script01_1b_F010 :Frustration; ()
Ses05M_script01_1b_F011 :Frustration; ()
Ses05M_script01_1b_F012 :Frustration; ()
Ses05M_script01_1b_F013 :Fear; ()
Ses05M_script01_1b_F014 :Frustration; ()
Ses05M_script01_1b_F015 :Frustration; ()
Ses05M_script01_1b_F016 :Frustration; ()
Ses05M_script01_1b_F017 :Frustration; ()
Ses05M_script01_1b_F018 :Frustration; ()
Ses05M_script01_1b_F019 :Frustration; ()
Ses05M_script01_1b_F020 :Frustration; ()
Ses05M_script01_1b_F021 :Frustration; ()
Ses05M_script01_1b_F022 :Neutral state; ()
Ses05M_script01_1b_F023 :Neutral state; ()
Ses05M_script01_1b_F024 :Frustration; ()
Ses05M_script01_1b_F025 :Frustration; ()
Ses05M_script01_1b_F026 :Frustration; ()
Ses05M_script01_1b_F027 :Frustration; ()
Ses05M_script01_1b_F028 :Sadness; ()
Ses05M_script01_1b_F029 :Frustration; ()
Ses05M_script01_1b_F030 :Frustration; ()
Ses05M_script01_1b_F031 :Anger; ()
Ses05M_script01_1b_F032 :Anger; ()
Ses05M_script01_1b_F033 :Anger; ()
Ses05M_script01_1b_F034 :Anger; ()
Ses05M_script01_1b_F035 :Frustration; ()
Ses05M_script01_1b_F036 :Frustration; ()
Ses05M_script01_1b_F037 :Frustration; ()
Ses05M_script01_1b_F038 :Frustration; ()
Ses05M_script01_1b_M000 :Frustration; ()
Ses05M_script01_1b_M001 :Sadness; ()
Ses05M_script01_1b_M002 :Sadness; ()
Ses05M_script01_1b_M003 :Sadness; ()
Ses05M_script01_1b_M004 :Frustration; ()
Ses05M_script01_1b_M005 :Frustration; ()
Ses05M_script01_1b_M006 :Frustration; ()
Ses05M_script01_1b_M007 :Frustration; ()
Ses05M_script01_1b_M008 :Frustration; ()
Ses05M_script01_1b_M009 :Frustration; ()
Ses05M_script01_1b_M010 :Frustration; ()
Ses05M_script01_1b_M011 :Frustration; ()
Ses05M_script01_1b_M012 :Frustration; ()
Ses05M_script01_1b_M013 :Frustration; ()
Ses05M_script01_1b_M014 :Frustration; ()
Ses05M_script01_1b_M015 :Frustration; ()
Ses05M_script01_1b_M016 :Frustration; ()
Ses05M_script01_1b_M017 :Frustration; ()
Ses05M_script01_1b_M018 :Anger; ()
Ses05M_script01_1b_M019 :Anger; ()
Ses05M_script01_1b_M020 :Anger; ()
Ses05M_script01_1b_M021 :Anger; ()
Ses05M_script01_1b_M022 :Anger; ()
Ses05M_script01_1b_M023 :Frustration; ()
Ses05M_script01_1b_M024 :Frustration; ()
Ses05M_script01_1b_M025 :Frustration; ()
Ses05M_script01_1b_M026 :Frustration; ()
Ses05M_script01_1b_M027 :Frustration; ()
Ses05M_script01_1b_M028 :Anger; ()
Ses05M_script01_1b_M029 :Frustration; ()
Ses05M_script01_1b_M030 :Frustration; ()
Ses05M_script01_1b_M031 :Anger; ()
Ses05M_script01_1b_M032 :Anger; ()
Ses05M_script01_1b_M033 :Anger; ()
Ses05M_script01_1b_M034 :Frustration; :Anger; ()
Ses05M_script01_1b_M035 :Anger; ()
Ses05M_script01_1b_M036 :Anger; ()
Ses05M_script01_1b_M037 :Frustration; ()
Ses05M_script01_1b_M038 :Frustration; ()
Ses05M_script01_1b_M039 :Frustration; ()
Ses05M_script01_1b_M040 :Anger; ()
Ses05M_script01_1b_M041 :Anger; ()
