Ses05F_script01_1_F000 :Sadness; ()
Ses05F_script01_1_F001 :Sadness; ()
Ses05F_script01_1_F002 :Sadness; ()
Ses05F_script01_1_F003 :Sadness; ()
Ses05F_script01_1_F004 :Sadness; ()
Ses05F_script01_1_F005 :Sadness; ()
Ses05F_script01_1_F006 :Sadness; ()
Ses05F_script01_1_F007 :Sadness; ()
Ses05F_script01_1_F008 :Sadness; ()
Ses05F_script01_1_F009 :Sadness; ()
Ses05F_script01_1_F010 :Sadness; ()
Ses05F_script01_1_F011 :Sadness; ()
Ses05F_script01_1_F012 :Frustration; ()
Ses05F_script01_1_F013 :Frustration; ()
Ses05F_script01_1_F014 :Frustration; ()
Ses05F_script01_1_F015 :Frustration; ()
Ses05F_script01_1_F016 :Fear; ()
Ses05F_script01_1_F017 :Frustration; ()
Ses05F_script01_1_F018 :Frustration; ()
Ses05F_script01_1_F019 :Frustration; ()
Ses05F_script01_1_F020 :Frustration; ()
Ses05F_script01_1_F021 :Frustration; ()
Ses05F_script01_1_F022 :Frustration; ()
Ses05F_script01_1_F023 :Frustration; ()
Ses05F_script01_1_F024 :Frustration; ()
Ses05F_script01_1_F025 :Frustration; ()
Ses05F_script01_1_F026 :Frustration; ()
Ses05F_script01_1_F027 :Anger; ()
Ses05F_script01_1_F028 :Frustration; ()
Ses05F_script01_1_F029 :Frustration; ()
Ses05F_script01_1_F030 :Frustration; ()
Ses05F_script01_1_F031 :Sadness; ()
Ses05F_script01_1_F032 :Frustration; ()
Ses05F_script01_1_F033 :Anger; ()
Ses05F_script01_1_F034 :Anger; ()
Ses05F_script01_1_F035 :Frustration; ()
Ses05F_script01_1_F036 :Frustration; ()
Ses05F_script01_1_F037 :Frustration; ()
Ses05F_script01_1_F038 :Frustration; :Anger; ()
Ses05F_script01_1_F039 :Sadness; ()
Ses05F_script01_1_F040 :Frustration; ()
Ses05F_script01_1_F041 :Frustration; ()
Ses05F_script01_1_M000 :Sadness; ()
Ses05F_script01_1_M001 :Sadness; ()
Ses05F_script01_1_M002 :Sadness; ()
Ses05F_script01_1_M003 :Sadness; ()
Ses05F_script01_1_M004 :Sadness; ()
Ses05F_script01_1_M005 :Sadness; ()
Ses05F_script01_1_M006 :Sadness; ()
Ses05F_script01_1_M007 :Sadness; ()
Ses05F_script01_1_M008 :Sadness; ()
Ses05F_script01_1_M009 :Sadness; ()
Ses05F_script01_1_M010 :Sadness; ()
Ses05F_script01_1_M011 :Frustration; ()
Ses05F_script01_1_M012 :Frustration; ()
Ses05F_script01_1_M013 :Anger; ()
Ses05F_script01_1_M014 :Frustration; ()
Ses05F_script01_1_M015 :Frustration; ()
Ses05F_script01_1_M016 :Sadness; ()
Ses05F_script01_1_M017 :Sadness; ()
Ses05F_script01_1_M018 :Neutral state; ()
Ses05F_script01_1_M019 :Frustration; ()
Ses05F_script01_1_M020 :Frustration; ()
Ses05F_script01_1_M021 :Anger; ()
Ses05F_script01_1_M022 :Frustration; ()
Ses05F_script01_1_M023 :Frustration; ()
Ses05F_script01_1_M024 :Frustration; ()
Ses05F_script01_1_M025 :Anger; ()
Ses05F_script01_1_M026 :Frustration; ()
Ses05F_script01_1_M027 :Frustration; ()
Ses05F_script01_1_M028 :Frustration; ()
Ses05F_script01_1_M029 :Frustration; ()
Ses05F_script01_1_M030 :Frustration; ()
Ses05F_script01_1_M031 :Frustration; ()
Ses05F_script01_1_M032 :Frustration; ()
Ses05F_script01_1_M033 :Frustration; ()
Ses05F_script01_1_M034 :Frustration; ()
Ses05F_script01_1_M035 :Anger; ()
Ses05F_script01_1_M036 :Frustration; ()
Ses05F_script01_1_M037 :Sadness; ()
Ses05F_script01_1_M038 :Sadness; ()
Ses05F_script01_1_M039 :Sadness; ()
Ses05F_script01_1_M040 :Frustration; ()
