Ses05F_impro04_F000 :Sadness; ()
Ses05F_impro04_F001 :Sadness; ()
Ses05F_impro04_F002 :Sadness; ()
Ses05F_impro04_F003 :Frustration; ()
Ses05F_impro04_F004 :Frustration; ()
Ses05F_impro04_F005 :Anger; ()
Ses05F_impro04_F006 :Frustration; ()
Ses05F_impro04_F007 :Frustration; ()
Ses05F_impro04_F008 :Anger; ()
Ses05F_impro04_F009 :Frustration; ()
Ses05F_impro04_F010 :Frustration; ()
Ses05F_impro04_F011 :Anger; ()
Ses05F_impro04_F012 :Anger; ()
Ses05F_impro04_F013 :Frustration; :Sadness; ()
Ses05F_impro04_F014 :Frustration; ()
Ses05F_impro04_F015 :Sadness; ()
Ses05F_impro04_F016 :Sadness; ()
Ses05F_impro04_F017 :Sadness; ()
Ses05F_impro04_F018 :Anger; ()
Ses05F_impro04_F019 :Sadness; ()
Ses05F_impro04_F020 :Frustration; ()
Ses05F_impro04_F021 :Surprise; ()
Ses05F_impro04_F022 :Sadness; ()
Ses05F_impro04_F023 :Sadness; ()
Ses05F_impro04_F024 :Frustration; ()
Ses05F_impro04_F025 :Anger; ()
Ses05F_impro04_F026 :Sadness; ()
Ses05F_impro04_F027 :Sadness; ()
Ses05F_impro04_F028 :Frustration; ()
Ses05F_impro04_F029 :Sadness; ()
Ses05F_impro04_F030 :Frustration; ()
Ses05F_impro04_F031 :Frustration; ()
Ses05F_impro04_F032 :Frustration; ()
Ses05F_impro04_F033 :Frustration; ()
Ses05F_impro04_F034 :Frustration; ()
Ses05F_impro04_F035 :Frustration; ()
Ses05F_impro04_F036 :Frustration; ()
Ses05F_impro04_F037 :Frustration; ()
Ses05F_impro04_F038 :Neutral state; ()
Ses05F_impro04_F039 :Neutral state; ()
Ses05F_impro04_F040 :Neutral state; ()
Ses05F_impro04_F041 :Neutral state; ()
Ses05F_impro04_F042 :Neutral state; ()
Ses05F_impro04_F043 :Neutral state; ()
Ses05F_impro04_F044 :Happiness; ()
Ses05F_impro04_F045 :Neutral state; ()
Ses05F_impro04_F046 :Happiness; ()
Ses05F_impro04_M000 :Neutral state; ()
Ses05F_impro04_M001 :Neutral state; ()
Ses05F_impro04_M002 :Frustration; ()
Ses05F_impro04_M003 :Neutral state; ()
Ses05F_impro04_M004 :Neutral state; ()
Ses05F_impro04_M005 :Neutral state; ()
Ses05F_impro04_M006 :Frustration; ()
Ses05F_impro04_M007 :Neutral state; ()
Ses05F_impro04_M008 :Neutral state; ()
Ses05F_impro04_M009 :Neutral state; ()
Ses05F_impro04_M010 :Neutral state; ()
Ses05F_impro04_M011 :Neutral state; ()
Ses05F_impro04_M012 :Neutral state; ()
Ses05F_impro04_M013 :Neutral state; ()
Ses05F_impro04_M014 :Frustration; ()
Ses05F_impro04_M015 :Neutral state; ()
Ses05F_impro04_M016 :Neutral state; ()
Ses05F_impro04_M017 :Neutral state; ()
Ses05F_impro04_M018 :Neutral state; ()
Ses05F_impro04_M019 :Frustration; ()
Ses05F_impro04_M020 :Neutral state; ()
Ses05F_impro04_M021 :Frustration; ()
Ses05F_impro04_M022 :Neutral state; ()
Ses05F_impro04_M023 :Frustration; ()
Ses05F_impro04_M024 :Neutral state; ()
Ses05F_impro04_M025 :Neutral state; ()
Ses05F_impro04_M026 :Neutral state; ()
Ses05F_impro04_M027 :Neutral state; ()
Ses05F_impro04_M028 :Neutral state; ()
Ses05F_impro04_M029 :Neutral state; ()
Ses05F_impro04_M030 :Neutral state; ()
Ses05F_impro04_M031 :Neutral state; ()
Ses05F_impro04_M032 :Neutral state; ()
Ses05F_impro04_M033 :Neutral state; ()
Ses05F_impro04_M034 :Neutral state; ()
Ses05F_impro04_M035 :Neutral state; ()
Ses05F_impro04_M036 :Neutral state; ()
Ses05F_impro04_M037 :Neutral state; ()
Ses05F_impro04_M038 :Neutral state; ()
Ses05F_impro04_M039 :Neutral state; ()
Ses05F_impro04_M040 :Neutral state; ()
Ses05F_impro04_M041 :Neutral state; ()
Ses05F_impro04_M042 :Neutral state; ()
Ses05F_impro04_M043 :Neutral state; ()
