Ses03M_impro05b_F000 :Neutral state; :Overlap; ()
Ses03M_impro05b_F001 :Neutral state; :Overlap; ()
Ses03M_impro05b_F002 :Neutral state; :Overlap; ()
Ses03M_impro05b_F003 :Neutral state; :Overlap; ()
Ses03M_impro05b_F004 :Neutral state; :Overlap; ()
Ses03M_impro05b_F005 :Neutral state; :Overlap; ()
Ses03M_impro05b_F006 :Neutral state; :Overlap; ()
Ses03M_impro05b_F007 :Neutral state; :Overlap; ()
Ses03M_impro05b_F008 :Neutral state; :Overlap; ()
Ses03M_impro05b_F009 :Neutral state; :Overlap; ()
Ses03M_impro05b_F010 :Frustration; :Overlap; ()
Ses03M_impro05b_F011 :Other; :Overlap; (concern)
Ses03M_impro05b_F012 :Neutral state; :Overlap; ()
Ses03M_impro05b_F013 :Other; :Overlap; (concern)
Ses03M_impro05b_F014 :Neutral state; :Overlap; ()
Ses03M_impro05b_F015 :Other; :Overlap; (concer)
Ses03M_impro05b_F016 :Neutral state; :Overlap; ()
Ses03M_impro05b_F017 :Surprise; :Overlap; ()
Ses03M_impro05b_F018 :Neutral state; :Overlap; ()
Ses03M_impro05b_F019 :Fear; :Other; :Overlap; (remorse)
Ses03M_impro05b_F020 :Frustration; :Overlap; ()
Ses03M_impro05b_F021 :Other; :Overlap; (desperate)
Ses03M_impro05b_F022 :Neutral state; :Overlap; ()
Ses03M_impro05b_F023 :Frustration; :Overlap; ()
Ses03M_impro05b_F024 :Other; :Overlap; (remorseful)
Ses03M_impro05b_F025 :Other; :Overlap; (flustered)
Ses03M_impro05b_F026 :Other; :Overlap; (confused)
Ses03M_impro05b_F027 :Other; :Overlap; (compliant)
Ses03M_impro05b_F028 :Neutral state; :Overlap; ()
Ses03M_impro05b_F029 :Other; :Overlap; (exasperated)
Ses03M_impro05b_F030 :Other; :Overlap; (desperate)
Ses03M_impro05b_F031 :Other; :Overlap; (dumbfounded)
