Ses04M_script02_1_F000 :Neutral state; ()
Ses04M_script02_1_F001 :Neutral state; ()
Ses04M_script02_1_F002 :Anger; ()
Ses04M_script02_1_F003 :Anger; ()
Ses04M_script02_1_F004 :Anger; ()
Ses04M_script02_1_F005 :Anger; ()
Ses04M_script02_1_F006 :Anger; ()
Ses04M_script02_1_F007 :Anger; ()
Ses04M_script02_1_F008 :Anger; ()
Ses04M_script02_1_F009 :Anger; ()
Ses04M_script02_1_F010 :Anger; ()
Ses04M_script02_1_F011 :Anger; ()
Ses04M_script02_1_F012 :Anger; ()
Ses04M_script02_1_F013 :Anger; ()
Ses04M_script02_1_F014 :Neutral state; ()
Ses04M_script02_1_F015 :Anger; ()
Ses04M_script02_1_F016 :Anger; ()
Ses04M_script02_1_F017 :Anger; ()
Ses04M_script02_1_F018 :Anger; ()
Ses04M_script02_1_F019 :Anger; ()
Ses04M_script02_1_F020 :Anger; ()
Ses04M_script02_1_F021 :Anger; ()
Ses04M_script02_1_M000 :Excited; ()
Ses04M_script02_1_M001 :Excited; ()
Ses04M_script02_1_M002 :Excited; ()
Ses04M_script02_1_M003 :Excited; ()
Ses04M_script02_1_M004 :Neutral state; ()
Ses04M_script02_1_M005 :Neutral state; ()
Ses04M_script02_1_M006 :Neutral state; ()
Ses04M_script02_1_M007 :Neutral state; ()
Ses04M_script02_1_M008 :Neutral state; ()
Ses04M_script02_1_M009 :Neutral state; ()
Ses04M_script02_1_M010 :Happiness; ()
Ses04M_script02_1_M011 :Happiness; ()
Ses04M_script02_1_M012 :Neutral state; ()
Ses04M_script02_1_M013 :Surprise; ()
Ses04M_script02_1_M014 :Neutral state; ()
Ses04M_script02_1_M015 :Neutral state; ()
Ses04M_script02_1_M016 :Neutral state; ()
Ses04M_script02_1_M017 :Surprise; ()
Ses04M_script02_1_M018 :Excited; ()
Ses04M_script02_1_M019 :Excited; ()
Ses04M_script02_1_M020 :Excited; ()
Ses04M_script02_1_M021 :Excited; ()
Ses04M_script02_1_M022 :Excited; ()
Ses04M_script02_1_M023 :Excited; ()
Ses04M_script02_1_M024 :Surprise; ()
Ses04M_script02_1_M025 :Neutral state; ()
Ses04M_script02_1_M026 :Neutral state; ()
Ses04M_script02_1_M027 :Neutral state; ()
Ses04M_script02_1_M028 :Excited; ()
Ses04M_script02_1_M029 :Excited; ()
Ses04M_script02_1_M030 :Excited; ()
Ses04M_script02_1_M031 :Excited; ()
Ses04M_script02_1_M032 :Excited; ()
Ses04M_script02_1_M033 :Neutral state; ()
